title,price,url,scraped_at
ポケモンカード neo プレミアムファイル,"10,700",https://jp.mercari.com/item/m82278797395,2026-05-05T10:02:05.955875
【海外限定】ポケモンカード ワタルのリザードンV 25th 英語版　2枚セット,"2,500",https://jp.mercari.com/item/m98902537064,2026-05-05T10:02:05.959913
ポケモンカード イシツブテ　ゴローン　ゴローニャ　旧裏,"1,500",https://jp.mercari.com/item/m46937234038,2026-05-05T10:02:05.964136
②ポケカ　ケロマツ　ゲコガシラ　ゲッコウガex R仕様　バトルアカデミー　svI,600,https://jp.mercari.com/item/m58100655101,2026-05-05T10:02:05.968595
ソルガレオ S8a 25th ANNIVERSARY 3枚,999,https://jp.mercari.com/item/m58216105339,2026-05-05T10:02:05.973086
ニャースex RR MEGA 拡張パック ムニキスゼロ 061/080 ２枚,"1,550",https://jp.mercari.com/item/m40996686320,2026-05-05T10:02:05.977253
ポケモンカード　メガガルーラex SR 1枚 RR ４枚 計５枚セット,"1,499",https://jp.mercari.com/item/m37919375997,2026-05-05T10:02:05.981739
ポケモンカードEXセット　20枚セット,"1,599",https://jp.mercari.com/item/m24744573758,2026-05-05T10:02:05.985906
ポケモンカードゲーム ムウマAR ピカチュウexRR,650,https://jp.mercari.com/item/m61056326317,2026-05-05T10:02:05.989996
ダークライV SLD スターターセットVSTAR 007/020 メルカリ便⭐️,"2,890",https://jp.mercari.com/item/m45570783938,2026-05-05T10:02:05.994219
ポケモンカード 基本エネルギー4枚セット,500,https://jp.mercari.com/item/m10093489328,2026-05-05T10:02:05.998623
ポケカ　ピカチュウ　スタートデッキ100 ノーマル3枚セット,"3,000",https://jp.mercari.com/item/m66942160338,2026-05-05T10:02:06.002925
【ポケモンカードゲーム】ポケモンいれかえ各種,799,https://jp.mercari.com/item/m57245524607,2026-05-05T10:02:06.007085
ポケカ　ブースター　グレイシアRR 他イーブイ進化系　テラスタルフェスまとめ売り,777,https://jp.mercari.com/item/m70270940941,2026-05-05T10:02:06.011186
リザードンEX (001/021) MリザードンEX (002/021),300,https://jp.mercari.com/item/m29079283500,2026-05-05T10:02:06.015604
ピカチュウ C S10b Pokémon GO 027/071 4枚,300,https://jp.mercari.com/item/m95646139493,2026-05-05T10:02:06.019798
